tweetId,tweetText
1587851700747919362,"Jamison Foser
@jamisonfoser
I just scrolled through the last several days of tweets by Ted Cruz, which include a *whole bunch* of claims and innuendo that would benefit from ""context,"" and I can't find one with a note like the one Twitter appended to 
@ChrisMurphyCT
 below.
Readers added context they thought people might want to know
Birdwatch notes are routinely applied to tweets from Congressional members of both parties.

An example of a Republican Senator having a Birdwatch note applied is this tweet by John Kennedy posted earlier this week: twitter.com/SenJohnKennedy…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
9:58 AM · Nov 2, 2022"
1587950213603508224,"Jon Levine
@LevineJonathan
Has ‘democracy’ ever shoved someone into a subway track? — Then it’s not an issue voters care about. Cry about it if you want, but it is what it is!
4:30 PM · Nov 2, 2022"
1587556714676736002,"Ted Cruz
@tedcruz
Ah, The “Independent” spouting Dem talking points.

The attack on Paul Pelosi was horrific & wrong, but calling a Hippie nudist from Berkeley—and an illegal alien & former Green Party supporter—a typical MAGA right-winger is idiotic.

Don’t believe me? Try the Washington Post:
The Independent
@Independent
·
Nov 1, 2022
Ted Cruz faces furious calls to apologise for pushing Paul Pelosi attack conspiracies https://independent.co.uk/news/world/americas/us-politics/ted-cruz-apology-paul-pelosi-b2215333.html?utm_content=Echobox&utm_medium=Social&utm_campaign=Main&utm_source=Twitter#Echobox=1667324279…
2:26 PM · Nov 1, 2022"
1587879989126385665,"Senator Ted Cruz
@SenTedCruz
Abolish the IRS.
 
We need to adopt a flat tax that every American can fill out on a postcard!
11:51 AM · Nov 2, 2022"
1589226917731139585,"Nina Turner
@ninaturner
“There’s a point where you get used to being hungry” 

I’m mad as hell and you should be, too.
4:03 AM · Nov 6, 2022"
1588954273467232257,"Karine Jean-Pierre
@PressSec
The President’s remarks yesterday have been twisted to suggest a meaning that was not intended; he regrets it if anyone hearing these remarks took offense.
10:59 AM · Nov 5, 2022"
1588954259290132480,"Karine Jean-Pierre
@PressSec
.
@POTUS
 knows that the men and women of coal country built this nation: they powered its steel mills and factories, kept its homes and schools and offices warm.  They made this the most productive and powerful nation on Earth.
10:59 AM · Nov 5, 2022"
1589424682205270016,"George Hahn
@georgehahn
Elon Musk is a small man.
5:09 PM · Nov 6, 2022"
1589641323077898241,"President Biden
@POTUS
Congressional Republicans have embraced plans to cut Social Security and Medicare – like reducing benefits or increasing costs for retirees and raising the retirement age.
 
They’re not even hiding it.
7:30 AM · Nov 7, 2022"
1588286695635447808,"Fox News
@FoxNews
FACT-CHECKED: 
@AOC
 tells 
@elonmusk
 she donates her merchandise profits to charity but expenses show otherwise
foxbusiness.com
AOC tells Musk proceeds from her campaign merch store go to ‘community acts,’ but expenses say...
Rep. Alexandria Ocasio-Cortez, D-N.Y., claimed in a Twitter spat with Elon Musk that proceeds from her merchandise go to charity acts, but the website says all proceeds go to the campaign.
2:47 PM · Nov 3, 2022"
1590202635130634240,"Jack Cocchiarella
@JDCocchiarella
Lauren Boebert will not be a member of the 118th Congress.
8:40 PM · Nov 8, 2022"
1590341299877863424,"Lauren Groff
@legroff
For everyone saying “But look at what happened statewide!,” we have been so deeply gerrymandered, for so long, that our Democrats have few legislative successes and little power to begin with—we have been exsanguinated for DECADES, not just years.
5:51 AM · Nov 9, 2022"
1590199192701767680,"Yell in a Strike
@jelenawoehr
Felons should be able to vote.

Why? Simple. 

The people elected to office decide what the felonies are.

Disenfranchising felons is a powerful incentive for politicians to create new felonies not in the interest of public safety, but in the interest of their own reelection.
8:26 PM · Nov 8, 2022"
1591813228119855104,"Elon Musk
@elonmusk
Perhaps it is because your real account sounds like a parody?
7:20 AM · Nov 13, 2022"
1591783524688101376,"Gil Student
@GilStudent
There might be a lot of Jews in Hollywood but Kanye didn’t go DeathCon3 on them. He went DeathCon3 on ALL the Jews, including the vast majority of Jews who have nothing to do with Hollywood. The poor Orthodox Jew in Brooklyn walking to synagogue bears the brunt of the hatred
SAFE CUNY
@SAFECUNY
·
Nov 12, 2022
·
For those who didn't see @DaveChappelle's antisemitic monologue on @nbcsnl earlier tonight, and who don't want to watch all 15 minutes, we have edited out all of the parts that many are rightly condemning as antisemitic. Here is all the hate in 2 minutes:
5:22 AM · Nov 13, 2022"
1592007792608657409,"@BEATYOU42
Suspect is Brian Silva
8:13 PM · Nov 13, 2022"
